time        memory
10:57:36    21m
10:57:46    21m
10:57:56    21m
10:58:06    21m
10:58:16    21m
10:58:26    21m
10:58:37    21m
10:58:47    21m
10:58:57    21m
10:59:07    21m
10:59:17    21m
10:59:27    21m
10:59:37    21m
10:59:47    21m
10:59:57    21m
11:00:08    21m
11:00:18    21m
11:00:28    21m
11:00:38    21m
11:00:48    21m
11:00:58    21m
11:01:08    21m
11:01:18    21m
11:01:28    21m
11:01:39    21m
11:01:49    21m
11:01:59    21m
11:02:09    21m
11:02:19    21m
11:02:29    21m
11:02:39    21m
11:02:49    21m
11:02:59    21m
11:03:09    21m
11:03:20    21m
11:03:30    21m
11:03:40    21m
11:03:50    21m
11:04:00    21m
11:04:10    21m
11:04:20    21m
11:04:30    21m
11:04:40    21m
11:04:51    21m
11:05:01    21m
11:05:11    21m
11:05:21    21m
11:05:31    21m
11:05:41    21m
11:05:51    21m
11:06:01    21m
11:06:11    21m
11:06:22    21m
11:06:32    21m
11:06:42    21m
11:06:52    21m
11:07:02    21m
11:07:12    21m
11:07:22    21m
11:07:32    21m
11:07:42    21m
11:07:53    21m
11:08:03    21m
11:08:13    21m
11:08:23    21m
11:08:33    21m
11:08:43    21m
11:08:53    21m
11:09:03    21m
11:09:13    21m
11:09:24    21m
11:09:34    21m
11:09:44    21m
11:09:54    21m
11:10:04    21m
11:10:14    21m
11:10:24    21m
11:10:34    21m
11:10:44    21m
11:10:55    21m
11:11:05    21m
11:11:15    21m
11:11:25    21m
11:11:35    21m
11:11:45    21m
11:11:55    21m
11:12:05    21m
11:12:15    21m
11:12:26    21m
11:12:36    21m
11:12:46    21m
11:12:56    21m
11:13:06    21m
11:13:16    21m
11:13:26    21m
11:13:36    22m
11:13:46    22m
11:13:57    22m
11:14:07    22m
11:14:17    22m
11:14:27    22m
11:14:37    22m
11:14:47    22m
11:14:57    22m
11:15:07    22m
11:15:17    22m
11:15:28    22m
11:15:38    22m
11:15:48    22m
11:15:58    22m
11:16:08    22m
11:16:18    22m
11:16:28    22m
11:16:38    22m
11:16:49    22m
11:16:59    22m
11:17:09    22m
11:17:19    22m
11:17:29    22m
11:17:39    22m
11:17:49    22m
11:17:59    22m
11:18:09    22m
11:18:20    22m
11:18:30    22m
11:18:40    22m
11:18:50    21m
11:19:00    21m
11:19:10    22m
11:19:20    22m
11:19:30    22m
11:19:40    22m
11:19:51    22m
11:20:01    22m
11:20:11    22m
11:20:21    22m
11:20:31    22m
11:20:41    22m
11:20:51    22m
11:21:01    22m
11:21:11    22m
11:21:22    22m
11:21:32    22m
11:21:42    22m
11:21:52    22m
11:22:02    22m
11:22:12    22m
11:22:22    22m
11:22:32    22m
11:22:42    22m
11:22:53    22m
11:23:03    22m
11:23:13    22m
11:23:23    22m
11:23:33    22m
11:23:43    22m
11:23:53    22m
11:24:03    22m
11:24:13    22m
11:24:24    22m
11:24:34    17m
11:24:45    10m
11:24:55    10m
11:25:06    10m
11:25:16    10m
11:25:26    10m
11:25:36    10m
11:25:46    10m
11:25:56    10m
11:26:06    10m
11:26:16    10m
11:26:26    10m
11:26:36    10m
11:26:47    10m
11:26:57    10m
11:27:07    10m
11:27:17    10m
11:27:27    10m
11:27:37    10m
11:27:47    10m
11:27:57    10m
11:28:07    10m
11:28:17    10m
11:28:28    10m
11:28:38    10m
11:28:48    10m
11:28:58    10m
11:29:08    10m
11:29:18    10m
11:29:28    10m
11:29:38    10m
11:29:48    10m
11:29:58    10m
11:30:09    10m
11:30:19    10m
11:30:29    10m
11:30:39    10m
11:30:49    10m
11:30:59    10m
11:31:09    10m
11:31:19    10m
11:31:29    10m
11:31:40    10m
11:31:50    10m
11:32:00    10m
11:32:10    10m
11:32:20    10m
11:32:30    10m
11:32:40    10m
11:32:50    10m
11:33:00    10m
11:33:10    10m
11:33:21    10m
11:33:31    10m
11:33:41    10m
11:33:51    10m
11:34:01    10m
11:34:11    10m
11:34:21    10m
11:34:31    10m
11:34:41    10m
11:34:51    10m
11:35:02    10m
11:35:12    10m
11:35:22    10m
11:35:32    10m
11:35:42    10m
11:35:52    10m
11:36:02    10m
11:36:12    10m
11:36:22    10m
11:36:32    10m
11:36:43    10m
11:36:53    10m
11:37:03    10m
11:37:13    10m
11:37:23    10m
11:37:33    10m
11:37:43    10m
11:37:53    10m
11:38:03    10m
11:38:14    10m
11:38:24    10m
11:38:34    10m
11:38:44    11m
11:38:54    11m
11:39:04    11m
11:39:14    11m
11:39:24    11m
11:39:34    11m
11:39:44    11m
11:39:55    11m
11:40:05    11m
11:40:15    11m
11:40:25    11m
11:40:35    11m
11:40:45    11m
11:40:55    11m
11:41:05    11m
11:41:15    11m
11:41:25    11m
11:41:36    11m
11:41:46    11m
11:41:56    11m
11:42:06    11m
11:42:16    11m
11:42:26    11m
11:42:36    11m
11:42:46    11m
11:42:56    11m
11:43:07    11m
11:43:17    11m
11:43:27    11m
11:43:37    11m
11:43:47    11m
11:43:57    11m
11:44:07    11m
11:44:17    11m
11:44:27    11m
11:44:37    11m
11:44:48    11m
11:44:58    11m
11:45:08    11m
11:45:18    11m
11:45:28    11m
11:45:38    11m
11:45:48    11m
11:45:58    11m
11:46:08    11m
11:46:18    11m
11:46:29    11m
11:46:39    11m
11:46:49    11m
11:46:59    11m
11:47:09    11m
11:47:19    11m
11:47:29    11m
11:47:39    11m
11:47:49    11m
11:47:59    11m
11:48:10    11m
11:48:20    11m
11:48:30    11m
11:48:40    11m
11:48:50    11m
11:49:00    11m
11:49:10    11m
11:49:20    11m
11:49:30    11m
11:49:41    11m
11:49:51    11m
11:50:01    11m
11:50:11    11m
11:50:21    11m
11:50:31    11m
11:50:41    11m
11:50:51    11m
11:51:01    12m
11:51:11    12m
11:51:22    12m
11:51:32    12m
11:51:42    12m
11:51:52    12m
11:52:02    12m
11:52:12    12m
11:52:22    12m
11:52:32    12m
11:52:42    12m
11:52:52    12m
11:53:03    12m
11:53:13    12m
11:53:23    12m
11:53:33    12m
11:53:43    12m
11:53:53    12m
11:54:03    12m
11:54:13    12m
11:54:23    12m
11:54:34    12m
11:54:44    12m
11:54:54    12m
11:55:04    12m
11:55:14    12m
11:55:24    12m
11:55:34    12m
11:55:44    12m
11:55:54    12m
11:56:04    12m
11:56:15    12m
11:56:25    12m
11:56:35    12m
11:56:45    12m
11:56:55    12m
11:57:05    12m
11:57:15    12m
11:57:25    12m
11:57:35    12m
11:57:45    12m
11:57:56    12m
11:58:06    12m
11:58:16    12m
11:58:26    12m
11:58:36    12m
11:58:46    12m
11:58:56    12m
11:59:06    12m
11:59:16    12m
11:59:27    12m
11:59:37    12m
11:59:47    12m
11:59:57    12m
12:00:07    12m
12:00:17    12m
12:00:27    12m
12:00:37    12m
12:00:47    12m
12:00:58    12m
12:01:08    12m
12:01:18    12m
12:01:28    12m
12:01:38    12m
12:01:48    12m
12:01:58    12m
12:02:08    12m
12:02:18    12m
12:02:28    12m
12:02:39    12m
12:02:49    12m
12:02:59    12m
12:03:09    12m
12:03:19    12m
12:03:29    12m
12:03:39    12m
12:03:49    12m
12:03:59    12m
12:04:10    12m
12:04:20    12m
12:04:30    12m
12:04:40    12m
12:04:50    12m
12:05:00    12m
12:05:10    12m
12:05:20    12m
12:05:30    12m
12:05:40    12m
12:05:51    12m
12:06:01    12m
12:06:11    12m
12:06:21    12m
12:06:31    12m
12:06:41    12m
12:06:51    12m
12:07:01    12m
12:07:11    12m
12:07:22    12m
12:07:32    12m
12:07:42    12m
12:07:52    12m
12:08:02    12m
12:08:12    12m
12:08:22    12m
12:08:32    12m
12:08:42    12m
12:08:52    12m
12:09:03    12m
12:09:13    12m
12:09:23    12m
12:09:33    12m
12:09:43    12m
12:09:53    12m
12:10:03    12m
12:10:13    12m
12:10:23    12m
12:10:33    12m
12:10:44    12m
12:10:54    12m
12:11:04    12m
12:11:14    12m
12:11:24    12m
12:11:34    12m
12:11:44    12m
12:11:54    12m
12:12:04    12m
12:12:14    12m
12:12:25    12m
12:12:35    12m
12:12:45    12m
12:12:55    12m
12:13:05    12m
12:13:15    12m
12:13:25    12m
12:13:35    12m
12:13:45    12m
12:13:56    12m
12:14:06    12m
12:14:16    12m
12:14:26    12m
12:14:36    12m
12:14:46    12m
12:14:56    12m
12:15:06    12m
12:15:16    12m
12:15:26    12m
12:15:37    12m
12:15:47    12m
12:15:57    12m
12:16:07    12m
12:16:17    12m
12:16:27    12m
12:16:37    12m
12:16:47    12m
12:16:57    12m
12:17:07    12m
12:17:18    12m
12:17:28    12m
12:17:38    12m
12:17:48    12m
12:17:58    12m
12:18:08    12m
12:18:18    12m
12:18:28    12m
12:18:38    12m
12:18:49    12m
12:18:59    12m
12:19:09    12m
12:19:19    12m
12:19:29    12m
12:19:39    12m
12:19:49    12m
12:19:59    12m
12:20:09    12m
12:20:19    12m
12:20:30    12m
12:20:40    12m
12:20:50    12m
12:21:00    12m
12:21:10    12m
12:21:20    12m
12:21:30    12m
12:21:40    12m
12:21:50    12m
12:22:00    12m
12:22:11    12m
12:22:21    12m
12:22:31    12m
12:22:41    12m
12:22:51    12m
12:23:01    12m
12:23:11    12m
12:23:21    12m
12:23:31    12m
12:23:42    12m
12:23:52    12m
12:24:02    12m
12:24:12    12m
12:24:22    12m
12:24:32    12m
12:24:42    12m
12:24:52    12m
12:25:02    12m
12:25:12    12m
12:25:23    12m
12:25:33    12m
12:25:43    12m
12:25:53    12m
12:26:03    12m
12:26:13    12m
12:26:23    12m
12:26:33    12m
12:26:43    12m
12:26:53    12m
12:27:04    12m
12:27:14    12m
12:27:24    12m
12:27:34    12m
12:27:44    12m
12:27:54    12m
12:28:04    12m
12:28:14    12m
12:28:24    12m
12:28:34    12m
12:28:45    12m
12:28:55    12m
12:29:05    12m
12:29:15    12m
12:29:25    12m
12:29:35    12m
12:29:45    12m
12:29:55    12m
12:30:05    12m
12:30:16    12m
12:30:26    12m
12:30:36    12m
12:30:46    12m
12:30:56    12m
12:31:06    12m
12:31:16    12m
12:31:26    12m
12:31:36    12m
12:31:46    12m
12:31:57    12m
12:32:07    12m
12:32:17    12m
12:32:27    12m
12:32:37    12m
12:32:47    12m
12:32:57    12m
12:33:07    12m
12:33:17    12m
12:33:27    12m
12:33:38    12m
12:33:48    12m
12:33:58    12m
12:34:08    12m
12:34:18    12m
12:34:28    12m
12:34:38    12m
12:34:48    12m
12:34:58    12m
12:35:09    12m
12:35:19    12m
12:35:29    12m
12:35:39    12m
12:35:49    12m
12:35:59    12m
12:36:09    12m
12:36:19    12m
12:36:29    12m
12:36:39    12m
12:36:50    12m
12:37:00    12m
12:37:10    12m
12:37:20    12m
12:37:30    12m
12:37:40    12m
12:37:50    12m
12:38:00    12m
12:38:10    12m
12:38:20    12m
12:38:31    12m
12:38:41    12m
12:38:51    12m
12:39:01    12m
12:39:11    12m
12:39:21    12m
12:39:31    12m
12:39:41    12m
12:39:51    12m
12:40:02    12m
12:40:12    12m
12:40:22    12m
12:40:32    12m
12:40:42    12m
12:40:52    12m
12:41:02    12m
12:41:12    12m
12:41:22    12m
12:41:32    12m
12:41:43    12m
12:41:53    12m
12:42:03    12m
12:42:13    12m
12:42:23    12m
12:42:33    12m
12:42:43    12m
12:42:53    12m
12:43:03    12m
12:43:13    12m
12:43:24    12m
12:43:34    12m
12:43:44    12m
12:43:54    12m
12:44:04    12m
12:44:14    12m
12:44:24    12m
12:44:34    12m
12:44:44    12m
12:44:55    12m
12:45:05    12m
12:45:15    12m
12:45:25    12m
12:45:35    12m
12:45:45    12m
12:45:55    12m
12:46:05    12m
12:46:15    12m
12:46:25    12m
12:46:36    12m
12:46:46    12m
12:46:56    12m
12:47:06    12m
12:47:16    12m
12:47:26    12m
12:47:36    12m
12:47:46    12m
12:47:56    12m
12:48:06    12m
12:48:17    12m
12:48:27    12m
12:48:37    12m
12:48:47    12m
12:48:57    12m
12:49:07    12m
12:49:17    12m
12:49:27    12m
12:49:37    12m
12:49:48    12m
12:49:58    12m
12:50:08    12m
12:50:18    12m
12:50:28    12m
12:50:38    12m
12:50:48    12m
12:50:58    12m
12:51:08    12m
12:51:18    12m
12:51:29    12m
12:51:39    12m
12:51:49    12m
12:51:59    12m
12:52:09    12m
12:52:19    12m
12:52:29    12m
12:52:39    12m
12:52:49    12m
12:52:59    12m
12:53:10    12m
12:53:20    12m
12:53:30    12m
12:53:40    12m
12:53:50    12m
12:54:00    12m
12:54:10    12m
12:54:20    12m
12:54:30    12m
12:54:40    12m
12:54:51    12m
12:55:01    12m
12:55:11    12m
12:55:21    12m
12:55:31    12m
12:55:41    12m
12:55:51    12m
12:56:01    12m
12:56:11    12m
12:56:21    12m
12:56:32    12m
12:56:42    12m
12:56:52    12m
12:57:02    12m
12:57:12    12m
12:57:22    12m
12:57:32    12m
12:57:42    12m
12:57:52    12m
12:58:03    12m
12:58:13    12m
12:58:23    12m
12:58:33    12m
12:58:43    12m
12:58:53    12m
12:59:03    12m
12:59:13    12m
12:59:23    12m
12:59:33    12m
12:59:44    12m
12:59:54    12m
13:00:04    12m
13:00:14    12m
13:00:24    12m
13:00:34    12m
13:00:44    12m
13:00:54    12m
13:01:04    12m
13:01:14    12m
13:01:25    12m
13:01:35    12m
13:01:45    12m
13:01:55    12m
13:02:05    12m
13:02:15    12m
13:02:25    12m
13:02:35    12m
13:02:45    12m
13:02:55    12m
13:03:06    12m
13:03:16    12m
13:03:26    12m
13:03:36    12m
13:03:46    12m
13:03:56    12m
13:04:06    12m
13:04:16    12m
13:04:27    12m
13:04:37    12m
13:04:47    12m
13:04:57    12m
13:05:07    12m
13:05:17    12m
13:05:27    12m
13:05:37    12m
13:05:47    12m
13:05:57    12m
13:06:08    12m
13:06:18    12m
13:06:28    12m
13:06:38    12m
13:06:48    12m
